Date,ë™íËÉ^ÉCÉ~ÉìÉO,ëÃèd(kg),ëÃéâñbó¶(%),éâñbó (kg),èúéâñbó (kg),êÑíËçúó (kg),ãÿì˜ó (kg),ëÃêÖï™ó (kg),É^ÉìÉpÉNéøÇ»Ç«(kg),BMI,ãÿì˜ó _ëÃä≤ïî(kg),ãÿì˜ó _ç∂òr(kg),ãÿì˜ó _âEòr(kg),ãÿì˜ó _ç∂ãr(kg),ãÿì˜ó _âEãr(kg),éâñbó _ëÃä≤ïî(kg),éâñbó _ç∂òr(kg),éâñbó _âEòr(kg),éâñbó _ç∂ãr(kg),éâñbó _âEãr(kg),äÓëbë„é”ó (BMR)(kcal),ì‡ëüéâñbÉåÉxÉã(VFR),ÉAÉXÉäÅ[Égéwêî
2024/6/23 14:40,â^ìÆå„,79.5,20.6,16.4,63.1,3.3,59.8,43.3,16.5,24.5,31.8,2.9,3,11.1,11,9.5,0.6,0.6,2.8,2.9,1756,12,58
2024/5/25 20:45,â^ìÆå„,80.3,20.2,16.2,64.1,3.3,60.8,44.7,16.1,24.8,31.8,3,3.1,11.5,11.4,9.2,0.7,0.6,2.8,2.9,1785,12,50
2024/3/2 18:20,â^ìÆå„,80.3,20.8,16.7,63.6,3.3,60.3,43.9,16.4,24.8,31.9,3,3.1,11.2,11.1,9.4,0.7,0.7,2.9,3,1771,12,59
2023/1/18 17:36,â^ìÆå„,79.6,20.1,16,63.6,3.3,60.3,43.7,16.6,24.6,32.1,2.9,3,11.2,11.1,9.3,0.6,0.6,2.7,2.8,1770,12,54
2023/11/8 20:38,â^ìÆå„,79.3,19.1,15.1,64.2,3.3,60.9,45.2,15.7,24.5,31.6,3,3.1,11.8,11.4,8.7,0.6,0.6,2.5,2.7,1785,12,55
2023/10/13 19:50,â^ìÆå„,79.3,18.9,15,64.3,3.3,61,45.7,15.3,24.5,31.5,3.1,3.2,11.7,11.5,8.3,0.7,0.6,2.6,2.8,1790,12,56
2023/9/26 20:41,â^ìÆå„,80.3,19.9,16,64.3,3.3,61,45.4,15.6,24.8,31.5,3,3.2,11.7,11.6,9,0.7,0.7,2.7,2.9,1792,12,52
2023/9/8 19:38,â^ìÆå„,80.1,19.9,15.9,64.2,3.3,60.9,45.2,15.7,24.7,31.7,3,3.1,11.6,11.5,8.9,0.7,0.7,2.7,2.9,1787,12,55
2023/8/24 20:26,â^ìÆå„,81,20.1,16.3,64.7,3.3,61.4,46.1,15.3,25,31,3.1,3.2,12.1,12,9.2,0.7,0.7,2.8,2.9,1805,12,51
2023/8/4 19:40,â^ìÆå„,80.6,20.9,16.8,63.8,3.3,60.5,44.7,15.8,24.9,30.9,3,3.1,11.8,11.7,9.7,0.7,0.7,2.8,2.9,1777,12,48
2023/7/25 19:20,â^ìÆå„,80.2,20.8,16.7,63.5,3.3,60.2,43.8,16.4,24.8,31.6,2.9,3,11.4,11.3,9.7,0.7,0.6,2.8,2.9,1769,12,54
2023/6/30 19:29,â^ìÆå„,82.1,21.8,17.9,64.2,3.3,60.9,44.8,16.1,25.3,31.2,2.9,3,12,11.8,10.4,0.7,0.7,3,3.1,1793,13,48
2023/4/22 17:56,â^ìÆå„,83.2,22.5,18.7,64.5,3.3,61.2,43.6,17.6,25.7,32.5,2.9,2.9,11.5,11.4,11,0.7,0.7,3.1,3.2,1805,13,50
2023/4/16 17:11,â^ìÆå„,82.5,22.4,18.5,64,3.3,60.7,44.1,16.6,25.5,32,3.1,3.1,11.3,11.2,10.6,0.7,0.7,3.2,3.3,1790,13,58
2021/8/10 19:02,â^ìÆå„,85,24.1,20.5,64.5,3.3,61.2,43.7,17.5,26.2,31.3,2.9,3,12,12,12,0.8,0.8,3.4,3.5,1811,14,51
2026/5/28 20:32,â^ìÆå„,74.9,15.3,11.5,63.4,3.3,60.1,46.3,13.8,23.1,30.7,3.1,3.1,11.7,11.5,6.2,0.6,0.5,2,2.2,1752,10,54
2026/5/28 17:58,â^ìÆëO,76.3,16.7,12.7,63.6,3.3,60.3,46.4,13.9,23.5,29.5,3,3.1,12.4,12.3,7.4,0.6,0.6,2,2.1,1758,11,48
2026/6/5 20:11,â^ìÆå„,74.9,15.6,11.7,63.2,3.3,59.9,46,13.9,23.1,30.4,3.1,3.2,11.7,11.5,6.4,0.6,0.5,2,2.2,1745,10,52
2026/6/5 16:24,â^ìÆëO,76,17.4,13.2,62.8,3.2,59.6,45.3,14.3,23.5,29.6,2.9,3.1,12.1,11.9,7.6,0.6,0.6,2.1,2.3,1735,11,49
2026/6/13 18:54,â^ìÆå„,74.7,16.2,12.1,62.6,3.2,59.4,45.1,14.3,23.1,30.7,3,3.1,11.4,11.2,6.5,0.6,0.6,2.1,2.3,1727,10,56
2026/6/17 15:45,â^ìÆëO,75.7,16.5,12.5,63.2,3.3,59.9,45.4,14.5,23.4,30.6,3,3.1,11.7,11.5,6.9,0.6,0.6,2.1,2.3,1747,11,58
